ID,Sample,Lat.,Long.,Water depth,14C ,14C error ,14C material,Type of Gear,Sediment depth (cm),Fraction (> µm),"Species type (epifaunal, infaunal, deep infaunal)",Species,Specimen size,n,d13C VPDB corr,d13C standard deviation,d18O VPDB corr,d18O standard deviation,Interglacial/glacial,"Stained/
Not stained",d18Oec_mn_h2022,d18Oec_mq_h2022,oxygen_h2023,d13c_dic_h2022,temp_hidro2023_40*30_section300kil,NO3umol/Kg,seawifs_npp_cbpm_all_mean,pH_25NBS_DIVA_40*30,CO3_h2023,Corg-korr,CaCO3,Opalgehalt,C/Nentk
1,01MC5,-50.65,-76.96,3964,,,,MUC,0-1,212,Epifaunal,Cibicidoides wuellerstorfi,,,0.052,0.046,2.748,0.128,Interglacial,Stained,2.38,2.92,158.23,-0.14,1.8,22.49,196.12,7.71,89.73,,,,
2,01MC5,-50.65,-76.96,3964,,,,MUC,0-1,212,Epifaunal,Cibicidoides wuellerstorfi,,,0.596,0.027,2.932,0.071,Interglacial,Stained,2.38,2.92,158.23,-0.14,1.8,22.49,196.12,7.71,89.73,,,,
3,27MC5,-40.49,-75.92,3850,,,,MUC,0-1,212,Epifaunal,Cibicidoides wuellerstorfi,,,0.194,0.03,2.155,0.027,Interglacial,Stained,2.48,2.81,161.72,0.06,1.8,29.51,506.94,7.64,77,,,,
4,42KG,-38.74,-73.94,210,681,35,"Mixed benthic foraminifera (Uvigerina, Valvularia, Bolivina)",Core top ,0-1,250,Deep infaunal,Globobulimina affinis,,2,0.020581183,0.013451562,2.078600636,0.03199064,Interglacial,Not stained,1.44,2.11,37.99,-0.19,10.78,32.17,755.95,7.67,67.56,,,,
5,43KG,-38.75,-73.9,184,595,35,Benthic foraminifera (B.plicata) ,MUC,0-1,250,Deep infaunal,Globobulimina affinis,,6,-1.456,0.003,2.198,0.01,Interglacial,Stained,1.37,2.11,44.84,-0.16,11.13,31.39,755.95,7.68,71.8,,,,
6,43KG,-38.75,-73.9,184,595,35,,MUC,0-1,250,Deep infaunal,Globobulimina auriculata,777,5,-1.05758906,0.04,1.950633595,0.06,Interglacial,Not Stained,1.37,2.11,44.84,-0.16,11.13,31.39,755.95,7.68,71.8,,,,
7,43KG,-38.75,-73.9,184,595,35,Benthic foraminifera (B.plicata) ,MUC,0-1,250,Deep infaunal,Globobulimina pacifica,,2,-0.837,0.005,2.253,0.013,Interglacial,Stained,1.37,2.11,44.84,-0.16,11.13,31.39,755.95,7.68,71.8,,,,
8,43KG,-38.75,-73.9,184,595,35,,MUC,0-1,250,Deep infaunal,Globobulimina spp. auriculata,875,6,-0.726636765,0.04,1.952366361,0.06,Interglacial,Not Stained,1.37,2.11,44.84,-0.16,11.13,31.39,755.95,7.68,71.8,,,,
9,46MC4,-33.28,-73.54,3852,,,,MUC,0-1,212,Epifaunal,Cibicidoides wuellerstorfi,,,0.318,0.011,2.606,0.017,Interglacial,Stained,2.62,2.81,160.13,0.15,1.79,34.77,713.37,7.6,70.06,,,,
10,46MC4,-33.28,-73.54,3852,,,,MUC,0-1,212,Epifaunal,Cibicidoides wuellerstorfi,,,-0.08,0.02,2.285,0.041,Interglacial,Stained,2.62,2.81,160.13,0.15,1.79,34.77,713.37,7.6,70.06,,,,
